battery_id,capacity_kWh,max_charge_kW,efficiency_cycle,maxDOD,maxSOC,max_cycles,battery_cost,battery_life_years,battery_inv_cost,life_bat_inv,notes,
TIDNULL,0,0,0,0,0,0,0,,,,,
pw_26,26,9.848,0.89,1,0.9,7300,26000,,,,,C:\PYTHONprojects\notebooks\en_notes\en1_storage_design.md
pw_52,52,19.697,0.89,1,0.9,7300,52000,,,,,
pw_78,78,29.545,0.89,1,0.9,7300,78000,,,,,
pw_104,104,39.394,0.89,1,0.9,7300,104000,,,,,
pw_scale,1,0.378787879,0.89,1,0.9,7300,,,,,,
powerwall2_1,13.2,5,0.89,1,0.9,7300,12500,,,,,
powerwall2_2,26.4,10,0.89,1,0.9,7300,24000,,,,,
powerwall2_3,39.6,15,0.89,1,0.9,7300,34500,,,,,
powerwall2_4,52.8,20,0.89,1,0.9,7300,45000,,,,,
akasol,5.5,5,0.98,1,0.9,5000,12000,,,,,
byd_bbox_res,10.24,10,0.953,1,0.9,6000,7500,,,,,
bmz_ess3.0,6.74,8,0.97,1,0.9,5000,7700,,,,,
dcs_pv_10,13.5,7.5,0.98,1,0.9,5000,8900,,,,,
fronius_sb,12,4,0.9,1,0.9,8000,19930,,,,,
gcle,5.6,3,0.95,0.9,0.97,6000,3650,,,,,
lgchem,9.8,5,0.95,1,0.9,7000,7655,,,,,
redfloe_zcell,10,3,0.8,1,0.9,,12600,,,,,
sonnenbatterie,15,3.3,0.98,0.9,0.9,10000,16500,,,,,
arb,200,60,0.9,1,0.9,8000,200000,,,,,
pw_104_500,104,39.394,0.89,1,0.9,7300,52000,,,,,
powerwall2_3_500,39.6,15,0.89,1,0.9,7300,19800,,,,,
pw_104_600,104,39.394,0.89,1,0.9,7300,62400,,,,,
powerwall2_3_600,39.6,15,0.89,1,0.9,7300,23760,,,,,
pw_104_700,104,39.394,0.89,1,0.9,7300,72800,,,,,
powerwall2_3_700,39.6,15,0.89,1,0.9,7300,27720,,,,,
arb_500,200,60,0.9,1,0.9,8000,100000,,,,,
arb_600,200,60,0.9,1,0.9,8000,120000,,,,,
arb_700,200,60,0.9,1,0.9,8000,140000,,,,,
