timestamp,total
1/01/2013 0:00,0
1/01/2013 0:30,0
1/01/2013 1:00,0
1/01/2013 1:30,0
1/01/2013 2:00,0
1/01/2013 2:30,0
1/01/2013 3:00,0
1/01/2013 3:30,0
1/01/2013 4:00,0
1/01/2013 4:30,0
1/01/2013 5:00,0.524701612
1/01/2013 5:30,1.282106932
1/01/2013 6:00,3.437360548
1/01/2013 6:30,5.64808164
1/01/2013 7:00,9.70187969
1/01/2013 7:30,13.05833907
1/01/2013 8:00,17.50972656
1/01/2013 8:30,20.15426876
1/01/2013 9:00,22.46579688
1/01/2013 9:30,23.82288906
1/01/2013 10:00,24.92907968
1/01/2013 10:30,25.99184532
1/01/2013 11:00,26.7345875
1/01/2013 11:30,27.30665
1/01/2013 12:00,28.621675
1/01/2013 12:30,29.06854374
1/01/2013 13:00,29.23987188
1/01/2013 13:30,28.00494062
1/01/2013 14:00,26.66618436
1/01/2013 14:30,25.30792032
1/01/2013 15:00,22.7291578
1/01/2013 15:30,20.29986406
1/01/2013 16:00,16.95279688
1/01/2013 16:30,13.74673125
1/01/2013 17:00,9.29711484
1/01/2013 17:30,6.278122265
1/01/2013 18:00,2.720364844
1/01/2013 18:30,0.878882812
1/01/2013 19:00,0
1/01/2013 19:30,0
1/01/2013 20:00,0
1/01/2013 20:30,0
1/01/2013 21:00,0
1/01/2013 21:30,0
1/01/2013 22:00,0
1/01/2013 22:30,0
1/01/2013 23:00,0
1/01/2013 23:30,0
2/01/2013 0:00,0
2/01/2013 0:30,0
2/01/2013 1:00,0
2/01/2013 1:30,0
2/01/2013 2:00,0
2/01/2013 2:30,0
2/01/2013 3:00,0
2/01/2013 3:30,0
2/01/2013 4:00,0
2/01/2013 4:30,0
2/01/2013 5:00,0.434417284
2/01/2013 5:30,1.07361787
2/01/2013 6:00,2.419857812
2/01/2013 6:30,3.1195959
2/01/2013 7:00,4.90488086
2/01/2013 7:30,6.033860155
2/01/2013 8:00,8.124385935
2/01/2013 8:30,9.12745
2/01/2013 9:00,11.09074531
2/01/2013 9:30,12.0888461
2/01/2013 10:00,12.29217813
2/01/2013 10:30,11.47070235
2/01/2013 11:00,11.51139531
2/01/2013 11:30,12.30118751
2/01/2013 12:00,12.11689531
2/01/2013 12:30,11.08302656
2/01/2013 13:00,10.22600391
2/01/2013 13:30,10.43273438
2/01/2013 14:00,10.07159766
2/01/2013 14:30,9.524397655
2/01/2013 15:00,7.708873435
2/01/2013 15:30,6.45734258
2/01/2013 16:00,4.306069532
2/01/2013 16:30,3.406353124
2/01/2013 17:00,2.372717382
2/01/2013 17:30,2.211036132
2/01/2013 18:00,1.289974512
2/01/2013 18:30,0.531789698
2/01/2013 19:00,0
2/01/2013 19:30,0
2/01/2013 20:00,0
2/01/2013 20:30,0
2/01/2013 21:00,0
2/01/2013 21:30,0
2/01/2013 22:00,0
2/01/2013 22:30,0
2/01/2013 23:00,0
2/01/2013 23:30,0
